Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
The Place of Court-Connected Mediation in a Democratic Justice System [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Cardozo Journal of Conflict Resolution, Vol. 5 No. 2, pp. 117-144","Cardozo Journal of Conflict Resolution, ",Vol.  5 No. 2,na,117-144,5 No. 2 Cardozo J. Conflict Resol. 117 (2004),45,na,31,"International Law, Communications Law, Science and Technology, Jurisprudence, Law and Society, Remedies",4806
What is (Im)Partial Enough in a World of Embedded Neutrals [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Arizona Law Review, Vol. 52, Issue 2 (2010), pp. 395-472","Arizona Law Review, ",Vol.  52,2 (2010),395-472,52 Ariz. L. Rev. 395 (2010),34,na,10,"Dispute Resolution, Fourteenth Amendment, Constitutional Law, Due Process, Recusal, Elections",4806
Does ADR Really Have a Place on the Lawyer's Philosophical Map [article],Nancy Welsh,"McAdoo, Barbara (Cited 59 times); Welsh, Nancy (Cited 996 times)","Hamline Journal of Public Law & Policy, Vol. 18, pp. 376-393","Hamline Journal of Public Law & Policy, ",Vol.  18,na,376-393,18 Hamline J. Pub. L. & Pol'y 376 (1996-1997),34,na,15,"Dispute Resolution, Practice and Procedure, Legal Profession",4806
Remembering the Role of Justice in Resolution: Insights from Procedural and Social Justice Theories [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Journal of Legal Education, Vol. 54, Issue 1 (2004), pp. 49-59","Journal of Legal Education, ",Vol.  54,1 (2004),49-59,54 J. Legal Educ. 49 (2004),27,na,141,"Social Justice, Courts, Practice and Procedure, Dispute Resolution",4806
Perceptions of Fairness in Negotiation [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Marquette Law Review, Vol. 87, pp. 753-768","Marquette Law Review, ",Vol.  87,na,753-768,87 Marq. L. Rev. 753 (2003-2004),22,na,73,"International Law, Legal Education, Politics, Dispute Resolution, Labor Law",4806
Interdisciplinary Collaboration and the Beauty of Surprise: A Symposium Introduction [comments],Nancy Welsh,"Ackerman, Robert M. (Cited 259 times); Welsh, Nancy A. (Cited 996 times)","Penn State Law Review, Vol. 108, Issue 1 (Summer 2003), pp. 1-8","Penn State Law Review, ",Vol.  108,1 (Summer 2003),8-Jan,108 Penn St. L. Rev. 1 (2003-2004),21,na,8,"Dispute Resolution, Legal Profession, Science and Technology, Research",4806
You've Got Your Mother's Laugh: What Bankruptcy Mediation Can Learn from the Her/History of Divorce and Child Custody Mediation [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","American Bankruptcy Institute Law Review, Vol. 17, Issue 2 (Winter 2009), pp. 427-462","American Bankruptcy Institute Law Review, ",Vol.  17,2 (Winter 2009),427-462,17 Am. Bankr. Inst. L. Rev. 427 (2009),17,na,11,"Bankruptcy, Child Custody, Divorce, History",4806
Searching for a Sense of Control: The Challenge Presented by Community Conflicts over Concentrated Animal Feeding Operations [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Gray, Barbara (Cited 16 times)","Penn State Environmental Law Review, Vol. 10, Issue 2 (Summer 2002), pp. 295-322","Penn State Environmental Law Review, ",Vol.  10,2 (Summer 2002),295-322,10 Penn St. Envtl. L. Rev. 295 (2001-2002),14,na,5,"Courts, General, Administration Law, Agriculture Law, Appeals, Water",4806
The Thoughtful Integration of Mediation into Bilateral Investment Treaty Arbitration [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Schneider, Andrea Kupfer (Cited 365 times)","Harvard Negotiation Law Review, Vol. 18, pp. 71-144","Harvard Negotiation Law Review, ",Vol.  18,na,71-144,18 Harv. Negot. L. Rev. 71 (2013),14,na,64,"Arbitration, Investment, Dispute Resolution, International Trade",4806
The Current Transitional State of Court-Connected ADR [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Marquette Law Review, Vol. 95, Issue 3 (Spring 2012), pp. 873-886","Marquette Law Review, ",Vol.  95,3 (Spring 2012),873-886,95 Marq. L. Rev. 873 (Spring 2012),13,na,25,"Self-Determination, Courts, Social Justice",4806
"I Could Have Been a Contender: Summary Jury Trial as a Means to Overcome Iqbal's Negative Effects upon Pre-Litigation Communication, Negotiation and Early, Consensual Dispute Resolution [article]",Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Penn State Law Review , Vol. 114, Issue 4 (Spring 2010), pp. 1149-1190","Penn State Law Review , ",Vol.  114,4 (Spring 2010),1149-1190,114 Penn St. L. Rev. 1149 (Spring 2010),13,na,8,"Dispute Resolution, Jury, Practice and Procedure, Judges",4806
The Law of Bargaining [article],Nancy Welsh,"Korobkin, Russell (Cited 3186 times); Moffitt, Michael (Cited 220 times); Welsh, Nancy (Cited 996 times)","Marquette Law Review, Vol. 87, pp. 839-846","Marquette Law Review, ",Vol.  87,na,839-846,87 Marq. L. Rev. 839 (2003-2004),12,na,26,"Professional Ethics, Religion, Dispute Resolution, General",4806
"Mandatory Predispute Consumer Arbitration, Structural Bias, and Incentivizing Procedural Safeguards [article]",Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Southwestern Law Review, Vol. 42, Issue 1 (2012), pp. 187-228","Southwestern Law Review, ",Vol.  42,1 (2012),187-228,42 Sw. L. Rev. 187 (2012-2013),11,na,19,"Arbitration, Plaintiffs",4806
Looking Down the Road Less Traveled: Challenges to Persuading the Legal Profession to Define Problems More Humanistically [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Journal of Dispute Resolution, Vol. 2008, Issue 1 (2008), pp. 45-60","Journal of Dispute Resolution, ",Vol.  2008,1 (2008),45-60,2008 J. Disp. Resol. 45 (2008),10,na,25,"Legal Profession, Dispute Resolution",4806
The Reputational Advantages of Demonstrating Trustworthiness: Using the Reputation Index with Law Students [notes],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Negotiation Journal, Vol. 28, Issue 1 (January 2012), pp. 117-146","Negotiation Journal, ",Vol.  28,1 (January 2012),117-146,28 Negot. J. 117 (2012),8,na,1,"Law Students, Students, Dispute Resolution, Economics, Practice and Procedure",4806
Integrating Alternative Dispute Resolution into Bankruptcy: As Simple (and Pure) as Motherhood and Apple Pie [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Nevada Law Journal, Vol. 11, Issue 2 (Spring 2011), pp. 397-435","Nevada Law Journal, ",Vol.  11,2 (Spring 2011),397-435,11 Nev. L.J. 397 (2010-2011),7,na,2,"Bankruptcy, Bankruptcy Law, Dispute Resolution, Professional Ethics, Ethics",4806
"Magistrate Judges, Settlement, and Procedural Justice [article]",Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Nevada Law Journal, Vol. 16, Issue 3 (Summer 2016), pp. 983-1060","Nevada Law Journal, ",Vol.  16,3 (Summer 2016),983-1060,16 Nev. L.J. 983 (2015-2016),6,2,30,"Dispute Resolution, Bankruptcy Law, Taxation-Federal, Criminal Law and Procedure, Judges",4806
Ross et al. v. American Express et al. [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Ware, Stephen J. (Cited 1158 times)","Dispute Resolution Magazine, Vol. 21, Issue 1 (Fall 2014), pp. 18-20","Dispute Resolution Magazine, ",Vol.  21,1 (Fall 2014),18-20,21 Disp. Resol. Mag. 18 (2014-2015),5,na,7,"Arbitration, Banking, Consumer Protection Law, Credit, Dispute Resolution, Industry",4806
Court-Ordered ADR: What Are the Limits [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Hamline Journal of Public Law and Policy, Vol. 12, Issue 1 (Spring 1991), pp. 35-50","Hamline Journal of Public Law and Policy, ",Vol.  12,1 (Spring 1991),35-50,12 Hamline J. Pub. L. & Pol'y 35 (1991),5,na,2,"Judges, Arbitration, Dispute Resolution, Practice and Procedure, Courts, Federal Courts",4806
Negotiation as One among Many Tools [article],Nancy Welsh,"Brown, Jennifer Gerarda (Cited 617 times); Campbell, Marcia Caton (Cited 22 times); Docherty, Jane Seminare (Cited 5 times); Welsh, Nancy (Cited 996 times)","Marquette Law Review, Vol. 87, pp. 853-860","Marquette Law Review, ",Vol.  87,na,853-860,87 Marq. L. Rev. 853 (2003-2004),5,na,7,"General, Domestic Relations, Equal Rights, Sex, Sexuality and the Law, Civil Unions, Domestic Partnerships, Marriage, Partnerships, Same-Sex Marriage",4806
"Musings on Mediation, Kleenex, and (Smudged) White Hats [comments]",Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","University of La Verne Law Review, Vol. 33, Issue 1 (November 2011), pp. 5-26","University of La Verne Law Review, ",Vol.  33,1 (November 2011),26-May,33 U. La Verne L. Rev. 5 (2011-2012),4,na,12,"International Law, Courts, Practice and Procedure, Law and Society",4806
Introduction [comments],Nancy Welsh,"Houser, Justin Kirk (Cited 5 times); Welsh, Nancy A. (Cited 996 times)","Penn State Law Review , Vol. 114, Issue 4 (Spring 2010), pp. 1143-1146","Penn State Law Review , ",Vol.  114,4 (Spring 2010),1143-1146,114 Penn St. L. Rev. 1143 (Spring 2010),4,na,1,"Civil Rights, Employment, Jury, National Security, Plaintiffs",4806
"Using the Theories of Exit, Voice, Loyalty, and Procedural Justice to Reconceptualize Brazil's Rejection of Bilateral Investment Treaties [article]",Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Schneider, Andrea Kupfer (Cited 365 times); Rimpfel, Kathryn (Cited 4 times)","Washington University Journal of Law & Policy, Vol. 45, pp. 105-144","Washington University Journal of Law & Policy, ",Vol.  45,na,105-144,45 Wash. U. J. L. & Pol'y 105 (2014),4,na,16,"Comparative Law, Investment, Treaties, Arbitration, European Union, Foreign Investment",4806
All in the Family [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Dispute Resolution Magazine, Vol. 7, Issue 2 (Winter 2001), pp. 20-24","Dispute Resolution Magazine, ",Vol.  7,2 (Winter 2001),20-24,7 Disp. Resol. Mag. 20 (2000-2001),3,na,na,"Research, Costs, Education, Schools, Diplomacy",4806
Eyes on the Prize [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); McAdoo, Bobbi (Cited 180 times)","Dispute Resolution Magazine, Vol. 11, Issue 3 (Spring 2005), pp. 13-16","Dispute Resolution Magazine, ",Vol.  11,3 (Spring 2005),13-16,11 Disp. Resol. Mag. 13 (2004-2005),3,na,4,"Capacity, Minorities, Self-Determination",4806
Institutionalized Conflict Resolution: Have We Come to Expect Too Little [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Coleman, Peter T. (Cited 5 times)","Negotiation Journal, Vol. 18, Issue 4 (October 2002), pp. 345-350","Negotiation Journal, ",Vol.  18,4 (October 2002),345-350,18 Negot. J. 345 (2002),3,na,na,"General, Military Law, Correctional Institutions",4806
Do You Believe in Magic: Self-Determination and Procedural Justice Meet Inequality in Court-Connected Mediation [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","SMU Law Review, Vol. 70, Issue 3 (Summer 2017), pp. 721-762","SMU Law Review, ",Vol.  70,3 (Summer 2017),721-762,70 S.M.U. L. Rev. 721 (2017),3,na,71,"Courts, Practice and Procedure, International Law, Dispute Resolution, Psychiatry and Psychology",4806
Class Action-Barring Mandatory Pre-Dispute Consumer Arbitration Clauses: An Example of (and Opportunity for) Dispute System Design [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","University of St. Thomas Law Journal, Vol. 13, Issue 2 (Winter 2017), pp. 381-433","University of St. Thomas Law Journal, ",Vol.  13,2 (Winter 2017),381-433,13 U. St. Thomas L.J. 381 (2016-2017),2,na,15,"Arbitration, Regulation, Banking, Contracts",4806
"Times They Are a Changin' - Or Are They: An Update on Rule 114, The [article]",Nancy Welsh,"McAdoo, Barbara (Cited 59 times); Welsh, Nancy (Cited 996 times)","Hennepin Lawyer, Vol. 65, Issue 6 (July-August 1996), pp. 8-13","Hennepin Lawyer, ",Vol.  65,6 (July-August 1996),13-Aug,65 Hennepin Law. 8 (1995-1996),2,na,1,"Dispute Resolution, Ethics, Practice and Procedure, Domestic Relations, Family Law",4806
Introduction: Minnesota's Alternative Dispute Resolution Provider Organizations [comments],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); McAdoo, Bobbi (Cited 180 times)","Hamline Journal of Public Law & Policy, Vol. 16, Issue 2 (Spring 1995), pp. 313-320","Hamline Journal of Public Law & Policy, ",Vol.  16,2 (Spring 1995),313-320,16 Hamline J. Pub. L. & Pol'y 313 (1994-1995),2,na,1,"Dispute Resolution, Organizations, Ethics, Standing",4806
The ABCs or ADR: Making ADR Work in Your Court System [article],Nancy Welsh,"Welsh, Nancy (Cited 996 times); McAdoo, Barbara (Cited 59 times)","Judges' Journal, Vol. 37, Issue 1 (Winter 1998), pp. 11-45","Judges' Journal, ",Vol.  37,1 (Winter 1998),Nov-45,37 Judges J. 11 (1998),2,na,3,"Dispute Resolution, Politics",4806
"Moving the Ball Forward in Consumer and Employment Dispute Resolution: What Can Planning, Talking, Listening and Breaking Bread Together Accomplish [article]",Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Lipsky, David B. (Cited 57 times)","Dispute Resolution Magazine, Vol. 19, Issue 3 (Spring 2013), pp. 14-19","Dispute Resolution Magazine, ",Vol.  19,3 (Spring 2013),14-19,19 Disp. Resol. Mag. 14 (2012-2013),1,na,2,"Dispute Resolution, Employment, Arbitration, Defenses, European Union",4806
Finding Opportunities in Dispute Resolution: An Introduction [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Zumeta, Zena (Cited 15 times)","Dispute Resolution Magazine, Vol. 21, Issue 3 (Spring 2015), pp. 4-5","Dispute Resolution Magazine, ",Vol.  21,3 (Spring 2015),5-Apr,21 Disp. Resol. Mag. 4 (2014-2015),1,na,2,Dispute Resolution,4806
What's It All about: Finding the Appropriate Problem Definition in Mediation [article],Nancy Welsh,"Riskin, Leonard L. (Cited 1331 times); Welsh, Nancy A. (Cited 996 times)","Dispute Resolution Magazine , Vol. 15, Issue 4 (Summer 2009), pp. 19-23","Dispute Resolution Magazine , ",Vol.  15,4 (Summer 2009),19-23,15 Disp. Resol. Mag. 19 (2008-2009),1,na,8,"Dispute Resolution, Legal Education, Education",4806
What is (Im)Partial Enough in a World of Embedded Neutrals [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Journal of the National Association of Administrative Law Judiciary, Vol. 30, Issue 2 (Fall 2010), pp. 495-600","Journal of the National Association of Administrative Law Judiciary, ",Vol.  30,2 (Fall 2010),495-600,30 J. Nat'l Ass'n Admin. L. Judiciary 495 (2010),1,na,10,"Dispute Resolution, Fourteenth Amendment, Constitutional Law, Due Process, Recusal, Elections",4806
Enforcement of Foreign Arbitration Agreements and Awards: Application of the New York Convention in the United States [article],Nancy Welsh,"Del Duca, Louis (Cited 30 times); Welsh, Nancy A. (Cited 996 times)","American Journal of Comparative Law Supplement, Vol. 62, Issue 4 (Fall 2014), pp. 69-96","American Journal of Comparative Law Supplement, ",Vol.  62,4 (Fall 2014),69-96,62 Am. J. Comp. L. Supp. 69 (2014),na,na,32,"Arbitration, States, Comparative Law, Courts",4806
Grappling the Monster Case: The Net Frontier in ADR [article],Nancy Welsh,"Welsh, Nancy (Cited 996 times); Montgomery, Ann","Bench & Bar of Minnesota, Vol. 54, Issue 8 (September 1997), pp. 21-24","Bench & Bar of Minnesota, ",Vol.  54,8 (September 1997),21-24,54 Bench & B. Minn. 21 (1997),na,na,na,"General, Continuing Legal Education, Education, Legal Education, Health, Social Security",4806
The Lawyers' Buffet: Options in Resolving Disputes [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Bench & Bar of Minnesota, Vol. 44, Issue 10 (November 1987), pp. 17-20","Bench & Bar of Minnesota, ",Vol.  44,10 (November 1987),17-20,44 Bench & B. Minn. 17 (1987),na,na,na,Dispute Resolution,4806
Court-Ordered ADR: What Are the Limits [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Bench & Bar of Minnesota, Vol. 46, Issue 4 (April 1989), pp. 12-18","Bench & Bar of Minnesota, ",Vol.  46,4 (April 1989),18-Dec,46 Bench & B. Minn. 12 (1989),na,na,1,"Constitutional Law, Practice and Procedure, Arbitration, Dispute Resolution, Contracts, Jury",4806
Institutionalization: What Do Empirical Studies Tell Us about Court Mediation [article],Nancy Welsh,"McAdoo, Bobbi (Cited 180 times); Welsh, Nancy A. (Cited 996 times); Wissler, Roselle L. (Cited 424 times)","GPSolo, Vol. 21, Issue 2 (March 2004), pp. 34-35","GPSolo, ",Vol.  21,2 (March 2004),34-35,21 GPSolo 34 (2004),na,na,9,"Research, Family Law, Costs",4806
Adaptations to the civil mediation model: Suggestions from research into the approaches to conflict resolution used in the Twin Cities' Cambodian community [notes],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times); Lewis, Debra","Mediation Quarterly, Vol. 15, Issue 4 (Summer 1994), pp. 345-358","Mediation Quarterly, ",Vol.  15,4 (Summer 1994),345-358,15 Mediation Q. 345 (1997-1998),na,na,na,"Research, Women, Persons, Police",4806
Not Quite Protocols: Toward Collaborative Research in Dispute Resolution [article],Nancy Welsh,"Honeyman, Christopher (Cited 115 times); McAdoo, Barbara (Cited 59 times); Welsh, Nancy (Cited 996 times)","Conflict Resolution Quarterly, Vol. 19, Issue 1 (Fall 2001), pp. 75-88","Conflict Resolution Quarterly, ",Vol.  19,1 (Fall 2001),75-88,19 Conflict Resol. Q. 75 (2001-2002),na,na,na,"Dispute Resolution, Research",4806
Theory and Reality in Regulating Dispute Resolution [reviews],Nancy Welsh,"Welsh, Nancy (Cited 996 times)","Dispute Resolution Magazine, Vol. 20, Issue 4 (Summer 2014), pp. 22-25","Dispute Resolution Magazine, ",Vol.  20,4 (Summer 2014),22-25,20 Disp. Resol. Mag. 22 (2013-2014),na,na,6,"Dispute Resolution, Procedure",4806
ADR and Numbers: An Introduction [article],Nancy Welsh,"Coben, James R. (Cited 103 times); Welsh, Nancy (Cited 996 times)","Dispute Resolution Magazine, Vol. 22, Issue 1 (Fall 2015), pp. 3-5","Dispute Resolution Magazine, ",Vol.  22,1 (Fall 2015),5-Mar,22 Disp. Resol. Mag. 3 (2015-2016),na,na,9,Dispute Resolution,4806
From the Chair [comments],Nancy Welsh,"Welsh, Nancy (Cited 996 times)","Dispute Resolution Magazine, Vol. 23, Issue 1 (Fall 2016), pp. 4-5","Dispute Resolution Magazine, ",Vol.  23,1 (Fall 2016),5-Apr,23 Disp. Resol. Mag. 4 (2016-2017),na,na,na,"Age, Dispute Resolution, Children, Courts",4806
